862,Point(-67.0 8.0)
882,Point(-172.2175 -13.745)
887,Point(48.0 15.5)
894,Point(28.0 -14.0)
AD,Point(1.555277777 42.558333333)
AE,Point(54.3 24.4)
AF,Point(66.0 33.0)
AG,Point(-61.85 17.116666666)
AI,Point(-63.048888888 18.227222222)
AL,Point(20.0 41.0)
AM,Point(44.95 40.383333)
AO,Point(17.35 -12.35)
AQ,Point(0.0 -90.0)
AR,Point(-64.0 -34.0)
AS,Point(-170.7075 -14.295833)
AT,Point(14.0 48.0)
AU,Point(137.0 -28.0)
AW,Point(-69.97422388 12.51106253)
AX,Point(20.0 60.25)
AZ,Point(47.7 40.3)
BA,Point(18.0 44.0)
BB,Point(-59.5525 13.17)
BD,Point(89.866667 24.016667)
BE,Point(4.668055555 50.641111111)
BF,Point(-2.066667 12.266667)
BG,Point(25.5 42.75)
BH,Point(50.551111 26.0675)
BI,Point(29.816667 -3.666667)
BJ,Point(2.183333333 8.833333333)
BL,Point(-62.8342438 17.897728)
BM,Point(-64.74 32.32)
BN,Point(114.566667 4.4)
BO,Point(-64.991228611 -17.056869611)
BQ,Point(-68.233333333 12.183333333)
BR,Point(-53.0 -14.0)
BS,Point(-77.4 25.0)
BT,Point(90.5 27.45)
BV,Point(3.36 -54.42)
BW,Point(23.7 -22.2)
BY,Point(28.046666666 53.528333333)
BZ,Point(-88.7 17.066666666)
CA,Point(-109.0 56.0)
CC,Point(96.895 -12.1175)
CD,Point(23.656111111 -2.88)
CF,Point(20.9 6.7)
CG,Point(15.383330555 -0.75)
CH,Point(8.231973 46.798562)
CI,Point(-6.0 8.0)
CK,Point(-159.783333333 -21.233333333)
CL,Point(-71.0 -33.0)
CM,Point(12.0 7.0)
CN,Point(103.451944444 35.844722222)
CO,Point(-73.25 4.0)
CR,Point(-84.0 10.0)
CU,Point(-79.5 22.0)
CV,Point(-24.083333333 15.916666666)
CW,Point(-68.966666666 12.166666666)
CX,Point(105.6275 -10.49)
CY,Point(33.0 35.0)
CZ,Point(16.0 49.5)
DE,Point(10.0 51.0)
DG,Point(72.411111111 -7.313333333)
DJ,Point(42.433333 11.8)
DK,Point(10.0 56.0)
DM,Point(-61.333333 15.416667)
DO,Point(-70.2 18.8)
DZ,Point(1.0 28.0)
EC,Point(-78.0 -1.0)
EE,Point(26.0 59.0)
EG,Point(29.0 27.0)
EH,Point(-13.0 25.0)
ER,Point(38.25 15.483333)
